Case ID,Bridge Name,"Location (City/County, Country)","coordinates (lat, lon)",Confirmed Post-Incident Safety Actions,Incident Date,Incident Type,Cause of Incident,Damage Description,Duration of Service Disruption,Estimated Repair Cost,Source / Reference,Notes,
1,Mary's River Rail bridge,"Oregon, USA","44.554391, -123.269164",,"January 4, 2025",Fire,"A train bridge over the Marys River in Corvallis collapsed because of structural failure, sending one train car filled with agricultural materials into the river. ","A “structural failure” caused the Jan. 4 bridge collapse in Corvallis that sent two Portland & Western rail cars into the river, including one that was partially submerged in the river and one that was almost entirely submerged in the water.",,"The Portland & Western Railroad bridge over Mary's River is undergoing repairs, with an estimated cost of around $1 million.","Marys River train bridge in Corvallis collapses, one train car falls into river - oregonlive.com  https://www.chronline.com/stories/oregon-train-bridge-collapse-sent-150000-pounds-of-fertilizer-into-river,373467",,
2,I-75,"Michigan, USA","45.817059, -84.727822",,"March 22, 2025",Vehicle collision,The damage was caused by a truck that inexplicably had its bed raised high enough to make contact with the underside of the bridge as the vehicle passed below it,Significant damage that required full overpass closure and extensive repairs.,Closed for a weekend,,https://www.toledoblade.com/local/transportation/2025/03/22/bridge-strike-forces-closure-i75-between-both-i475-junctions/stories/20250322091,,
3,Parkersburg Railroad Bridges,"West Virginia, USA","39.271427, -81.5656405",The approach remained centered on maintaining vigilant routine inspections and ensuring rapid containment if future incidents occur.,"April 12, 2025",Vessel collision,Loose barge,"A barge got loose on the swollen Little Kanawha River and floated downstream. The vessel, loaded with what appeared to be sand or gravel, drifted downstream and struck the bridge piling of a railroad trestle at Parkersburg.",,N/A,https://wvmetronews.com/2024/04/12/loose-barge-strikes-railroad-bridge-in-wood-county/,,
4,Atchafalaya River railroad bridge,"Louisiana, USA","30.690745, -91.734257","The collision triggered swift safety inspections and an ongoing investigation. As of now, there is no evidence of permanent infrastructure upgrades (like fender systems or mooring improvements) at the Melville railroad bridge.","April 21, 2025",Vessel collision,The cause is still being investigated.,"A railroad bridge in St. Landry Parish was struck by a tugboat in the Atchafalaya River. Officials said the tugboat hit the railroad trestle in Melville while moving barges down the river. While there have been no immediate reports of injuries, officials have said there is significant damage to the barge it.",,N/A,https://www.klfy.com/local/st-mary-parish/tugboat-hits-railroad-bridge-in-melville-causing-significant-damage/ https://ktvz.com/cnn-regional/2025/04/22/atchafalaya-river-railroad-bridge-in-melville-hit-by-tugboat-us-coast-guard-investigating/,,
,I‑65 Overpass – Upper River Road,"Alabama, USA","32.864388, -86.605848",,"April 29, 2025",Vehicle collision,Miscalculation,"A tractor-trailer  hit a concrete overpass at Upper River Road while transporting an excavator. Inspection found damage to the concrete on all six bridge girders – the long, horizontal beams that support the bridge deck. However, in all but one girder, the steel rebar appeared intact",Temporary lane closure,"ALDOT negotiated for the repair to be performed as a $358,185 supplement to a pre-existing $16.1 million contract with Rogers Group for the ongoing resurfacing of I-65 in Morgan County.",https://www.waff.com/2025/04/29/alea-i-65-crash-caused-by-tractor-trailer-hitting-concrete-overpass/ https://www.yahoo.com/news/aldot-provides-upper-river-road-110211316.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAC-vAZzYKsjf5VNeJ-LJRdND_v15RMvIiMAxf-Gffn6F6cnIFaJu3d6XS1mexKHTM2QWm_heQWj15v3s15yf2jFUtzFzqTVMJqIIIQrNRnSv4jx10cSJ9cmSDYnlDEU8cuFsJJ4cWwveBPpXFIm45JAEajnTU0w0MhpoOV-M0b6v,,
5,Highway 80 at Vicksburg,"Mississippi, USA","32.31483, -90.90575","Regarding future prevention, no new barrier systems (like fenders or bollards) or operational changes have been publicly announced since this incident. However, the pre-existing upgrades—notably the underwater radar system installed in 2013—remain a key measure for improving navigation safety.","May 1, 2025",Vessel collision,High water flow,A tugboat was pushing 22 barges down the river when two broke off and crashed into the old Highway 80 bridge.,,N/A,https://www.wlbt.com/2025/05/01/barge-strikes-old-highway-80-bridge-vicksburg-no-injuries-reported/,,
6,Hood River–White Salmon Interstate Bridge,"Oregon, USA","45.718462, -121.494656","The new bridge is designed to be higher and feature wider spaces between its support columns. This eliminates the need for a central lift span present in the current bridge, providing a wider and safer passage for barges navigating the Columbia River underneath. Ahead of the replacement, coating condition assessments and engineering monitoring of the existing structure are planned from July–September 2025.","May 19, 2025",Vessel collision,"High wind gusts reportedly caused barge wires to part, necessitating a maneuver downstream to resecure the tow. ",A Shaver Transportation barge had made contact with the inside face of the northernmost lift span pier of the Hood River-White Salmon Interstate Bridge. the impact caused only superficial surface marring to the bridge pier and no structural damage.,Temporary closure,N/A,https://www.portofhoodriver.com/shaver-barge-incident-at-hood-river-bridge-results-in-minor-pier-damage-no-structural-concerns-identified,,
,Alaska Railroad Bridge over Talkeetna River,"Alaska, USA","62.32761710, -150.119016","Railroad staff had initiated a change order to widen the walkway on May 20, just a day prior to the collision","May 27, 2025",Vehicle collision,,"An ATV trespassed onto railroad bridge and was struck by a passing Alaska Railroad train, no reported damage to bridge structure.",,N/A,https://alaskapublic.org/news/public-safety/2025-05-27/alaska-railroad-train-strikes-atv-on-talkeetna-river-bridge?utm_source=chatgpt.com,,
7,Brooklyn Bridge collision,"New York, USA","40.706001, -73.997002",Immediate reactions prioritized safety and emergency response. Investigations are ongoing but yet to yield recommendations.Preventive steps remain speculative—no concrete improvements have been announced.,"May 17, 2025",Vessel collision,"The ship did not maneuver as planned, and travelled backwards under the nearby Brooklyn Bridge, crashing into the span.","The Mexican Navy ship Cuauhtémoc struck the Brooklyn Bridge while departing New York City. The ship's masts collided with the underside of the bridge, at around the height of her topgallant sails, causing the loss of her topmasts and resulting in two deaths and multiple injuries of people aboard the vessel. The Brooklyn Bridge sustained no major structural damage.",All lanes on both sides were briefly closed and reopened soon after the incdient.,N/A,https://en.wikipedia.org/wiki/Cuauht%C3%A9moc%E2%80%93Brooklyn_Bridge_collision,,
8,I-27 Bridge,Texas - USA,"34.36232, -101.76103",,"May 29, 2025",Vehicle collision,The cause is still being investigated.,"A portion of Interstate 27 near Tulia remains closed after a crane being hauled on a tractor-trailer crashed into an overpass, causing considerable damage Tuesday morning in Swisher County. The arm of a crane being hauled on a tractor-trailer collided with the FM 928 overpass, according to the Texas Department of Public Safety.",The overpass will be closed for the foreseeable future as damage is evaluated and repairs are made.,Not yet disclosed.,"Part of I-27 closed in Texas Panhandle after crane, overpass crash",,
9,Coffeeville River Bridge,"Alabama, USA","31.755291, -88.102027","Ongoing investigations may lead to future safeguards—but as of now, no concrete preventive measures (like structural installations or new regulations) have been publicly announced.","May 29, 2025",Vessel collision,The cause is still being investigated.,A barge broke loose from the others and struck the Coffeeville River Bridge. The extent of the damage to the structure was not clear. ,Drivers were rerouted. The roadway has been reopened after the bridge was inspected and deemed safe.,N/A,https://www.fox10tv.com/2025/05/29/barge-hits-bridge-clarke-county/,,
10,Rumson–Sea Bright Bridge,"New Jersey, USA","40.365982, -73.975807","The old bridge is about to be replaced. The new bridge will have modernized draw controls, improved structural integrity and wider structure and shoulders.","June 13, 2025",Vessel collision,Operator Lost directional control,A 56-foot recreational boat crashed into the Rumson-Sea Bright Bridge.,,N/A,https://maydaydigest.com/2025/06/13/50-foot-pleasure-boat-crashes-into-rumson-sea-bright-bridge-nj/,,
11,FM 1431 bridge,"Texas, USA","30.3929, -98.2545",,"July 5, 2025",Flood,"The FM 1431 bridge over Cow Creek, built in 1960 to connect Lago Vista and Marble Falls, was ripped apart by floodwaters. ",Flash floods severely damaged a bridge at Big Sandy Road and Round Mountain Road — the only way in and out of the neighborhood. Concrete slabs tossed into the creek bed like dominos.,Travis County is working with the state to craft a temporary crossing into the Sandy Creek community,Not yet disclosed.,https://www.kxan.com/news/local/travis-county/travis-county-bridge-damaged-by-floods-closed-community-cut-off/ https://www.kut.org/transportation/2025-07-10/fm-1431-cow-creek-bridge-lago-vista-marble-falls-sandy-creek-ranches-bridge-flooded-floods-july-fourth-fix,,
12,Joppa Iron Truss Bridge,"Texas, USA","30.824492871520242, -98.03241117575664",,"July 5, 2025",Flood,Catastrophic flooding washed away the Burnet County bridge.,"Flooding along the San Gabriel River Saturday morning swept away a historic bridge in Burnet County. the bridge once stood, only support piers remain. A section of the wooden bridge deck sat on top of tree branches along the riverbank. But the iron bridge structure that once spanned the river could not be seen nearby.",,N/A,https://www.fox7austin.com/news/watch-historic-bridge-washed-away-burnet-county-flooding https://www.kxan.com/weather/historic-bridge-swept-away-by-san-gabriel-river-flooding/,,
,Knik River Bridges (Glenn Highway),"Alaska, USA","61.5043831, -149.032270",,"January 24, 2024",Vehicle collision,Ice fog,"Dense ice fog drastically reduced visibility (~one vehicle length); a single vehicle spun on icy bridge, triggering a chain-reaction involving 37 vehicles.  Multiple vehicles involved; bridge deck had no reported structural damage, but roadway closures and significant traffic disruption occurred; injuries to ~13 people",Temporary road closure,N/A,https://alaskapublic.org/news/2024-01-25/glenn-highway-reopens-after-37-vehicles-crash-on-knik-river-bridges-injuring-13?utm_source=chatgpt.com,,
13,"Nuuanu Stream Bridge, Oʻahu","Hawaii, USA","21.32152778, -157.8488056","Temporary barrier repairs remain in place, but no permanent upgrades (e.g. fender systems, additional bollards, or navigational aids) have been publicly announced. Ongoing investigations by the Coast Guard and law enforcement may influence future safety measures, but as of now, no further public action has been disclosed.","January 29, 2024",Vessel collision,Unknown,"The vessel, Lady Anna, ran aground while attempting to dock at Pier 16, and made contact with the Nuuanu Stream Bridge causing damage to one section of the fence and bridge railing",,N/A,https://www.kitv.com/news/local/fishing-vessel-runs-aground-damages-nuuanu-stream-bridge-while-docking-at-honolulu-harbor/article_1f2e4fa6-bf1c-11ee-b8d9-8bb4b5421824.html,,
14,Francis Scott Key Bridge,Maryland-USA,"39.216944, -76.528611","The new bridge will include robust fendering systems and protective dolphins  to absorb and redirect ship impacts. A wider and taller clearance span for maritime traffic, reducing the chance of ship-bridge collisions. Expected to include real-time structural health monitoring systems to detect stress, vibrations, and possible early damage. modern engineering codes with redundant load paths.","March 26, 2024",Vessel collision,Loss of control at the crew's end that were operating the vessel.,"A large container ship, MV Dali, lost power and struck a support pier, causing the complete collapse of the bridge. Six men – all of them workers performing routine road maintenance – lost their lives",The collapse blocked most shipping to and from the Port of Baltimore for 11 weeks.,Maryland officials have said they plan to replace the bridge by fall 2028 at an estimated cost of $1.7 billion to $1.9 billion.,Francis Scott Key Bridge collapse - Wikipedia,"Maryland Governor Wes Moore called the event a ""global crisis"" that had affected more than 8,000 jobs.The economic impact of the closure of the waterway has been estimated at $15 million per day.","In 1980, a ship roughly one-third the size of Dali struck and lightly damaged one of the bridge's piers.[38][39][40] After the bridge collapsed in 2024, anonymous former agency officials told The Washington Post that the Maryland Transportation Authority (MDTA) did not consider studying the possibility of a collision with a larger ship, and instead spent decades studying how terrorists might attack the bridge after the September 11 attacks or inspecting for structural flaws similar to those that caused the I-35W Mississippi River bridge collapse in 2007."
15,Arkansas River bridge,"Oklahoma, USA","35.7067098, -95.153829",None reported—no structural changes or added navigational protections announced.,March 2024,Vessel collision,The cause of the collision is unknown.,The Oklahoma State Patrol said that it closed a highway south of Sallisaw after a barge struck a bridge over Arkansas River.,The highway was closed for few hours.,N/A,Arkansas River bridge struck by barge on Saturday - Oklahoma Energy Today,,
16,Sewickley Bridge,"Pennsylvania, USA","40.533310, -80.187857","There’s no indication that additional fender systems, upgraded bollards, or structural enhancements were installed at the Sewickley Bridge or nearby mooring areas following the incident.","April 1, 2024",Vessel collision,Barges broke loose from their moorings.,"26 barges broke loose from their moorings. The barges, primarily carrying non-hazardous dry cargo like coal, drifted down the rain-swollen river. Several became stuck at the Emsworth Lock and Dam, and at least one struck a pillar of the Sewickley Bridge.",The Sewickley Bridge was temporarily closed for inspections after being hit by a barge. It was reopened after inspections deemed it safe.,N/A,"Barges break loose on Ohio River in Pittsburgh, damaging a marina and striking a bridge | AP News",,
17,I-64/Sherman Minton bridge,"Indiana, USA","38.2784556, -85.8220389","INDOT continues with its standard bridge safety protocol, which includes periodic inspections and maintenance—but not specifically enhanced protections against waterborne vessel impacts",April 2024,Vessel collision,,a minor barge hit: non-structurally detrimental damage was visible,,,https://www.wishtv.com/news/i-team-8/some-indiana-bridges-face-risk-from-commercial-water-traffic-but-overall-danger-low/,,
18,I-95 Norwalk bridge,"Connecticut, USA","41.06270, -73.24374",,"May 2, 2024",Fire,"The I-95 bridge in Norwalk, Connecticut, collapsed due to a fiery crash involving a tanker truck carrying gasoline.","A motor vehicle collision involving a gas tanker caused a fire on I-95 in Norwalk, Connecticut. The bridge was heavily damaged by flames on Thursday morning after a three-vehicle collision caused a gas/petroleum tanker to burst into flames under the overpass.
","Within 80 hours, the damaged overpass was removed, and all lanes reopened, relieving the congestion but leaving Norwalk residents without a vital connection to the busy Route 1 corridor with no bridge over that section of highway.",I-95 Norwalk bridge repair estimated to cost $20 million,https://highways.dot.gov/newsroom/us-department-transportation-announces-3-million-quick-release-emergency-relief-funding-i95  https://www.wfsb.com/2024/05/06/i-95-norwalk-reopens-days-after-fiery-crash-work-far-over/,,
19,State Road 19 bridge on Lake Harris,"Florida, USA","28.739226, -81.766847","FDOT’s ongoing SR 19 bridge replacement project—which includes upgraded approaches, lighting, signage, and structural reinforcements—has been accelerated. It integrates additional safety buffers specifically to mitigate future vessel impacts.","May 6, 2024",Vessel collision,,A 19-foot aluminum boat with two men aboard struck the bridge,,,https://www.wesh.com/article/man-injured-lake-county-boat-crash/60700914,,
20,Fort Madison Toll Bridge,"Iowa, USA","40.62694, -91.29583","No public announcements have indicated installation of new navigational safeguards like fenders, dolphins, upgraded bollards, or traffic control systems at the bridge site.","May 9, 2024",Vessel collision,Barge became loose from the tow,"A barge struck the north side of the bridge shortly, leaving the swing gate bridge stuck in the open position.",Closed for few hours,,https://www.wgem.com/2024/05/09/fort-madison-bridge-shut-down-after-being-struck-by-barge/,,
21,J. Wilton Graves Bridge,"South Carolina, USA","32.225133, -80.781906",There's no available record of follow-up actions or long-term preventive measures taken afterward.,"May, 2024",Vessel collision,Unspecified,A barge pushed by a tug boat hit one of the fenders protecting the pilings on J. Wilton Graves Bridge on U.S. Highway 278 the ship struck and collapsed the fender of the bridge section,,,https://www.islandpacket.com/news/local/crime/article288431719.html,,
22,Pelican Island Causeway Bridge,"Galveston, Texas","29.2967, -94.7925",Replacement bridge is on the plans. The new design aims to eliminate outdated truss spans and improve overall structural resilience.,"May 15, 2024",Vessel collision,Tugboat coupling failed; a 321-ft fuel barge drifted and struck a bridge pier,"Bridge pier damaged, protection structure collapsed, debris in water",Road access disrupted for days; waterway closed within 6.5 miles for cleanup,$194M,"AP News, Reuters, YouTube",Only road access to Pelican Island; affected Texas A&M Galveston students and staff,
23,Burlington Northern Santa Fe Railroad Bridge,South Dakota,"45.624954771812, -122.69085476134886",,June 2024,Flood,"The bridge collapse was a direct result of the extreme flooding in the area, with the Big Sioux River reaching record high levels.",,,,"https://www.pbs.org/newshour/nation/railroad-bridge-between-south-dakota-and-iowa-collapses-among-midwest-flooding#:~:text=Turn%20on%20desktop%20notifications?,crest%20until%20later%20this%20week.",,
24,South Pine Channel Bridge,"Florida, USA","24.667228, -81.384908",Unspecified,July 2024,Vessel collision,High speed and DUI,The center console boat was traveling at a “high rate of speed” around 2 a.m. on Monday when it crashed into the South Pine Channel Bridge,,N/A,https://www.wesh.com/article/florida-keys-boat-crashes-into-bridge/61535470,,
,Northport (Tuscaloosa County) – 5th Street Bridge,"Alabama, USA","33.2193013, -87.580956",,"July 16, 2024",Vehicle collision,Mechanical failure,Northport bridge closed after vehicle crash. The driver slammed into the concrete guardrails. The hit was so powerful it sent chunks of concrete down below to the railroad tracks.,,,https://www.wbrc.com/2024/07/16/northport-bridge-closed-after-vehicle-crash/?utm_source=chatgpt.com,,
25,Memorial Bridge,"New Hampshire, USA","43.07938, -70.75255","Federal Highway Administration (FHWA) and bridge owner to conduct a quantitative risk evaluation—measuring factors like vessel traffic, pier resistance, and protective measures—and implement mitigation plans if needed.",June 2024,Vessel collision,Strong current,Read more at: https://www.islandpacket.com/news/local/crime/article288431719.html#storylink=cpy,,N/A,https://www.wmur.com/article/nh-no-injuries-reported-after-sailboat-hits-memorial-bridge-us-coast-guard-says/61123427,,
26,Howard Frankland Bridge area,"Florida, USA","27.9283833, -82.586239",Coast Guard and FDOT jointly re-evaluated barge placement zones near bridge foundations to minimize risk of vessel impacts. Verified fendering and pier protection systems.,July 2024,Vessel collision,Boat operator driving under influence,"A 20-foot vessel with two occupants collided with a barge, and an occupant fell into the water.",,,https://iontb.com/investigation-continues-following-a-boat-collision-near-the-howard-frankland-bridge/,,
27,Long Island Bridge,"Massachusetts, USA","42.309452, -70.979652",Unspecified,August 2024,Vessel collision,,a boat struck a stanchion left behind in Boston Harbor from a bridge that was demolished nearly a decade ago,,N/A,https://www.wcvb.com/article/boat-strikes-long-island-bridge-boston-harbor-injuries/61803689,,
28,Middle Thorofare Bridge,"New Jersey, USA","38.95497, -74.86977","The bridge has been officially limited to 15‑ton vehicle weights, restricting emergency vehicles like fire trucks and ambulances. Initial design phase is underway (fall 2024), and full replacement is scheduled for sometime after 2030.",August 2024,Vessel collision,A commercial fishing boat lost power and crashed into the bridge,A large fishing boat lost power and hit the Middle Thorofare Bridge,Overnight closure,N/A,https://www.nbcphiladelphia.com/news/local/middle-thorofare-bridge-jersey-shore-closed-again/3956970/,,
29,Former Long Island Bridge Piers,"Massachusetts, USA","42.3200, -70.9400","Emergency measures were immediate and effective.  Monitoring for pollution and potential hazards was conducted. No evidence of longer-term preventive initiatives like infrastructure improvements, navigational restrictions, or procedural safeguards has been announced.",August 2024,Vessel collision,,A boat crashed into part of the remains of the old Long Island Bridge in Boston Harbor.,,,https://www.nbcboston.com/news/local/boston-harbor-boat-incident/3451607/,,
30,Mendenhall River Bridge,"Alaska, USA",,,August 2024,Flood,,,,,,,
31,2 Mile Bridge,"New Jersey, USA","38.95605, -74.87405","Official follow-up has been limited to standard inspections ensuring the bridge’s structural integrity. There are no known updates from Cape May County, the New Jersey DOT, or Coast Guard regarding changes to navigation procedures or added protective infrastructure at the bridge site.

","August 30, 2024",Vessel collision,"90-foot fishing boat, the Jersey Cape, collided with the bridge after losing power","This mechanical failure rendered the bridge inoperable, forcing its closure to vehicular, pedestrian, and bike traffic.",The bridge was closed temporarily for repairs.,,https://catcountry1073.com/two-mile-bridge-hit-by-fishing-boat/,,
32,Fort Lauderdale bridge,"Florida, USA","26.100648, -80.118581",Any damaged fenders or pier bumpers were repaired or replaced to ensure structural protection before the broader rehabilitation work commenced.,"September 10, 2024",Vessel collision,May be mechanical or the high current.,"The 94-metre Feadship, delivered in 2021, was navigating the waterways when it wedged itself precariously close to the bridge, leaving onlookers both shocked and amused. Fortunately, the incident did not result in major damage to either the yacht or the bridge.",,,https://www.superyachtnews.com/fleet/viva-crashes-into-fort-lauderdale-bridge,,
,Glenn Highway,"Alaska, USA","61.504980, -149.008906",,"September 11, 2024",Fire,Vehicle collision,"A semi hauling double trailers merged, leading to a rear-end collision; one vehicle subsequently caught fire atop an overpass (no structural bridge damage reported)",Road closure ~3 hours,N/A,,,
33,Matanzas Pass Bridge,"Florida, USA","26.457455, -81.953643","Awareness was raised regarding the bridge’s precise clearance limits, especially for vessels with lengthy equipment.","September 17, 2024",Vessel collision,,"A shrimp boat collision with the Matanzas Pass Bridge in Fort Myers, Florida, temporarily disrupted traffic and marine activity on Monday morning.",Bridge closure for few hours.,,https://usattorneys.com/what-happened-when-a-shrimp-boat-hit-the-matanzas-pass-bridge-in-fort-myers-florida/,,
34,Hylebos Bridge ,"Washington, USA","47.277648, -122.394552",Fender system replacement completed. Infrastructure maintenance focus strengthened.,"September 24, 2024",Vessel collision,Incorrect Lineup Leads to Tugboat Damaging Hylebos Bridge Fender System,"The deteriorated fender system protecting the Hylebos Bridge in Tacoma, Washington, was damaged beyond repair last October after being struck by a tugboat assisting an articulated tug and barge, or ATB.",,The damaged south fender was replaced with a steel fender at an estimated cost of $2.43 million.,https://www.ntsb.gov/news/press-releases/Pages/NR20240924.aspx  https://www.marinelog.com/news/ntsb-incorrect-lineup-led-to-tugboat-strike-on-hylebos-bridge-fender-system/,,
35,Lake Lure Flowering Bridge,"North Carolina, USA","35.43632976989998, -82.2350048888648",,"September 24, 2024",Hurricane,The bridge was destroyed by the flooding of Hurricane Helene.,"The flood waters washed away the west riverbank, leaving no structure connecting the bridge to the land on the other side.",The bridge is closed to the public due to the damage and safety concerns.,,https://lakelurefloweringbridge.org/hurricane-helene-update/,,
36,Card Sound Bridge,"Florida, USA","25.287538, -80.368467",Unspecified,"October 31, 2024",Vessel collision,"Excessive boat speed, less visibility",A boat crashed into a piling near the Card Sound Road Bridge in Key Largo,,,https://www.local10.com/news/local/2024/10/31/several-hurt-after-boat-slams-into-key-largo-bridge-authorities-investigating/,,
37,Hanapepe Bridge,"Hawaii, USA","21.912570, -159.586858",Actions taken were limited to routine structural inspections and continued monitoring of bridge integrity.,"February 3, 2023",Vessel collision,Flood swollen river,"The bridge, which carries Hanapepe Road over the river, was struck by an empty, privately owned cargo container. The bridge wasn't damaged.",Temporary closure until investigated,N/A,https://www.freightwaves.com/news/kauai-bridge-not-damaged-by-floating-cargo-container,,
38,Lime City Road overpass,"Ohio, USA","41.53994372837243, -83.56755945972641",,"February 9, 2023",Vehicle collision,"Driving while disqualified, failure to stop, and overheight without a permit.","The bridge was struck and damaged by an over-height load, including a broken steel support beam. Debris also fell onto I-75, striking vehicles and causing injuries. ",The impact led to the closure of the bridge for repairs and traffic restrictions on I-75.,7.2M,https://www.transportation.ohio.gov/about-us/news/district-2/work-to-repair-lime-city-road-bridge-over-interstate-75-to-begin-in-march,,
39,Cape Coral Bridge,"Florida, USA","26.560767, -81.927553","Safety reminders were issued through FWC channels and local media, emphasizing: Maintaining safe speed near bridge piers, Wearing life jackets and monitoring vessel conditions.","February 23, 2023",Vessel collision,Unknown,"A boat traveling in the Caloosahatchee River struck the Cape Coral Bridge. After hitting the bridge, the vessel took on water and sank.",,N/A,https://www.spaglaw.com/blog/2023/02/boat-hits-cape-coral-bridge-in-florida/,,
,Cotton Lane Bridge,"Arizona, USA","33.388203, -112.424145",,"February 25, 2023",Vehicle collision,Fatigued driver,"Fatigued pickup-truck driver drifted into bike lane, striking a concrete barrier and group of bicyclists on the bridge",,,https://apnews.com/article/arizona-accidents-9dea443540560957b05c731279792e24,,
,Hillcrest Drive over Minnesota Drive Overpass,"Alaska, USA","45.0980719, -93.7457959",,"March 7, 2023",Vehicle collision,Miscalculation of the overhead bridge span,A commercial vehicle carrying heavy equipment was traveling northbound on Minnesota Drive when it collided with Hillcrest Drive overpass. Two steel girders beneath the bridge were damaged; inspection team reviewed condition before reopening; sidewalk shoulder closed temporarily.,A lengthy closure for a day,N/A,https://www.alaskasnewssource.com/2023/03/08/fatal-collision-closes-minnesota-drive-hillcrest/,,
,Shoal Creek Bridge,"Alabama, USA","30.267302, -97.750386",,"April 1, 2023",Flood,,Shoal Creek Bridge in rural Lauderdale County had to be closed after a barge was found resting against its supports when while water was high and running quickly,Temprary closure,,https://apnews.com/article/alabama-floods-jasper-3e6ceb2f16b21d56f8477ac5779435c7?utm_source=chatgpt.com,,
40,Railroad bridge on the Black Warrior River,"Alabama, USA","33.215390, -87.573764",Not specified,"April 11, 2023",Vessel collision,May be mechanical or human error.,A towing vessel collided with a railroad bridge on the Black Warrior River in Alabama. No damage was found on the vessel or bridge,,N/A,"https://www.politifact.com/article/2024/apr/04/two-ships-colliding-with-bridges-in-the-same-week/#:~:text=The%20presentation%20noted%20more%20than,Baird%20contributed%20to%20this%20report.",,
41,Sewickley Bridge,"Pennsylvania, USA","40.53277778, -80.18777780","No public record indicates implementation of permanent structural protections (e.g. fenders, dolphins, bollards) at the impacted bridge or nearby mooring areas.","April 13, 2023",Vessel collision,High current,"More than two dozen river barges broke loose from their moorings and floated down the Ohio River, damaging a marina and striking a bridge",Temporary closure until investigated,,https://www.weirtondailytimes.com/news/local-news/2024/04/ohio-river-near-pittsburgh-is-closed-as-crews-search-for-missing-barge-one-of-26-that-broke-loose/,,
42,Natchez-Vidalia Bridge,"Mississippi, USA","31.559129, -91.420065","There is currently no public indication of structural changes (e.g., fender systems or dolphins) at that bridge as a result. Maritime operators are encouraged to implement BRM-type crew training, which reinforces active monitoring, error-checking, and safety culture. ","April 23, 2023",Vessel collision,"The captain, intending to guide the tow via the western channel under the bridge, admitted that he was not attentive enough during the approach, which led to the tow being misplaced.",The incident resulted in one barge sinking and damage to two others,,$2M,https://gcaptain.com/captains-complacency-led-to-bridge-strike-on-mississippi-river/,,
,U.S. 191 Overpass over Interstate 10 – Willcox area,"Arizona, USA","32.26833307200801, -109.84306037817534",,May 2023,,,,,,,,
