Case ID,Bridge Name,"Location (City/County, Country)","coordinates (lat, lon)",Confirmed Post-Incident Safety Actions,Incident Date,Incident Type,Cause of Incident,Damage Description,Duration of Service Disruption,Estimated Repair Cost,Source / Reference,Notes,
43,Eads Bridge,"Missouri, USA","38.629120, -90.178872","This incident led to significant enhancements in structural protection (fenders/dolphins), acknowledged gaps in operator knowledge (prompting recommendations), and improvements in rehabilitation efforts.",May 2023,Vessel collision,,A runaway barge hits Eads bridge. No damage was observed on the bridge.,Service was haulted till the time the bridge was investigated for its safety.,N/A,https://fox2now.com/news/missouri/barge-strikes-eads-bridge-metrolink-expects-delays/,,
44,Mackinac Bridge,"Michigan, USA","45.820487, -84.729136","No physical structural upgrades (e.g., fenders or span redesign) were recommended or undertaken following the incident.","May 7, 2023",Vessel collision,Errors by the captains,"A captain and barge company managers not identifying the crane they were towing was too high to pass under the Mackinac Bridge near Mackinaw City, Michigan led to the crane hitting the bridge.",,"$145,000",https://www.ntsb.gov/news/press-releases/Pages/NR20250210.aspx,,
45,Vaca Cut Bridge,"Florida, USA","24.730572, -81.029622",Actions remained focused on post-collision inspection and standard safety monitoring.,"May 24, 2023",Vessel collision,Unknown,A barge hit a bridge in the Florida Keys bridge.,No damage,N/A,https://www.miamiherald.com/news/local/community/florida-keys/article275761301.html,,
46,Boondocks Road Bridge,"Texas, USA","29.859087, -94.225115","Increased water patrols, Targeted BUI (Boating Under the Influence) enforcement.","May 24, 2023",Vessel collision,Driving under influence,"Lewis Newsom, 48, of Groves, was driving the boat shortly before sunset Friday when it struck the bridge on Boondocks Road at the North Fork of Taylor Bayou.",,N/A,https://kfdm.com/news/local/several-hurt-when-boat-hits-bridge-in-jefferson-county,,
,,,"34.108396, -109.248824",,May 2023,Vehicle  collision,Unknown,"A semi-truck crashed into a bridge pillar supporting U.S. 191 over I‑10, resulting in a fatality and substantial structural damage.",,$5.3M,https://www.kold.com/2024/08/06/bridge-over-i-10-southeast-arizona-completed-after-fiery-crash/?utm_source=chatgpt.com,,
47,Townsend’s Inlet Bridge,"New Jersey, USA","39.119695, -74.715766",Install or reinforce impact-absorbing fender systems around bridge piers to protect the structure from collisions and reduce damage to vessels.,"June 6, 2023",Vessel collision,Loss of situational awareness under low-light conditions,A 52-foot Viking Sky Bridge is shown after colliding with the Townsend’s Inlet Bridge causing it to sink in the Townsend’s Inlet,,N/A,https://midjersey.news/2023/06/06/52-foot-viking-sinks-after-colliding-with-townsends-inlet-bridge/,,
48,Interstate 95 highway,"Pennsylvania, USA","36.87814985093392, -77.40378934831816",,"June 11, 2023",Fire,"Driver's failure to slow down on an exit ramp, leading to the truck overturning and igniting.","A tanker truck carrying gasoline caught fire beneath the overpass that carries Interstate 95. The extreme heat caused the northbound lanes to collapse and damaged the southbound lanes, closing roughly nine miles (14 km) of both directions of I-95, between the Betsy Ross Bridge/Aramingo Avenue (exit 26) and PA 63/Woodhaven Road (exit 35).","The swift construction of a temporary roadway enabled traffic to resume on June 23, less than two weeks after the fire.","The repair cost for the I-95 bridge in Philadelphia, PA, following the June 2023 collapse, is estimated to be between $25 million and $30 million.",https://en.wikipedia.org/wiki/2023_Interstate_95_highway_collapse,,
49,William B. Umstead Bridge,"North Carolina, USA","35.895489, -75.629988","Safety efforts appear to have focused on immediate inspection and monitoring, with no indication of long-term upgrades tied to this event.","June 15, 2023",Vessel collision,"Engine trouble, causing the boat to lose power.",A boat crashed into Old Manns Harbor Bridge. The momentum and the current then pushed the boat into the bridge and caused the vessel’s flying bridge to collapse onto two people who were on board.,,,"https://www.wnct.com/news/north-carolina/1-injured-after-boat-crashes-into-old-manns-harbor-bridge-in-dare-county/#:~:text=1%20injured%20after%20boat%20crashes%20into%20Old%20Manns%20Harbor%20Bridge%20in%20Dare%20County,-by:%20Courtney%20Ingalls&text=DARE%20COUNTY%2C%20N.C.%20(WAVY),What%20is%20your%20feedback?",,
50,Yellowstone River Bridge,"Montana, USA","46.85608534277617, -105.11731077292052",,"June 24, 2023",Structure failure,"The cause of the collapse is under investigation, but some experts have suggested that repeated years of heavy river flows may have eroded the river bottom and weakened the bridge structure.","A bridge that crosses the Yellowstone River collapsed, causing several cars of a freight train carrying hazardous materials to fall into the water below. The incident resulted in environmental concerns and internet service disruptions in the state.The derailment caused various environmental concerns and disrupted transportation and internet services.",28-day Outage: This means train service was officially restored 28 days after the collapse.,The cost to replace the Yellowstone River Bridge near Tower Junction in Yellowstone National Park is $118 million.,2023 Yellowstone River train derailment - Wikipedia,,
51,Cement Bridge,"Georgia, USA","31.7468845, -81.254269",Unspecified,"June 1, 2023",Vessel collision,,A single vessel struck the underside of a cement bridge at night. The operator fatally struck his head. The vehicle of injury: most likely head trauma—not a structural collapse. ,,N/A,https://boattest.com/article/accidents-week-july-15-2023?utm_source=chatgpt.com,,
52,Brooklyn Bridge,"New York, USA","40.7061, -73.9969",The bridge's design and existing safety measures were deemed sufficient to handle the impact.  The NYCDOT continues to monitor the bridge's condition through regular inspections and maintains existing safety protocols to mitigate the risk of future collisions.,"July 1, 2023",Vessel collision,"The collision was caused when the ship's master incorrectly calculated the crane's height as the barge moved north, leading to the crane contacting the underside of the bridge.",The Brooklyn Bridge survived a close call Wednesday morning after it was struck by a crane that damaged an I-beam underneath its iconic Gothic frame. The damage was not structural and “didn’t impact the integrity” of New York City’s oldest and most storied suspension bridge,No closure,N/A,https://nypost.com/2023/07/19/close-call-on-brooklyn-bridge-after-crane-on-barge-hits-splits-i-beam/,,
53,State Highway 155 bridge over Lake Palestine,"Texas, USA","32.144502, -95.473657","Post-impact structural inspections were conducted, and the bridge was deemed safe with no repairs required.","August 20, 2023",Vessel collision,"Human error, equipment failure, weather conditions.","A small recreational boat hit a pillar on the State Highway 155 bridge. After the impact, the driver was ejected from the boat and killed.",,,"https://www.spaglaw.com/blog/2023/08/boating-accident-on-lake-palestine-texas/#:~:text=There%20was%20a%20boating%20accident,impacted%20by%20this%20deadly%20crash.",,
54,Hylebos Bridge ,"Washington, USA","47.277714, -122.394519","Fender system replacement, Enhanced inspection protocols. The deteriorated wooden fender system, which failed to properly absorb impact, was completely replaced with a more robust steel fender system","October 12, 2023",Vessel collision,Human error ,"The captain of an articulated tug and barge (ATB) failed to line up his vessel correctly while approaching the Hylebos Bridge in Tacoma, Washington, last year, causing an assisting tugboat to strike the bridge’s already deteriorated fender system.  The fender system required replacement",,$2.43M,https://gcaptain.com/captain-error-leads-to-tugboat-striking-bridge-fender-ntsb-report-finds/,,
55,Columbia River – Port Westward Beaver Dock,"Oregon, USA","46.180356, -123.181980","This incident focused entirely on human factors and onboard alert systems. There were no physical or structural bridge upgrades—such as fendering, bollards, or pier protections","November 12, 2023",Vessel collision,Human error.,The towing vessel was pushing the loaded deck barge St. John up the Columbia River when the tow gradually moved to starboard out of the channel and struck the Port Westward Beaver Dock.,,$6M,https://professionalmariner.com/deck-hand-asleep-at-helm-led-to-columbia-river-dock-strike/,,
56,Fern Hollow Bridge,"Pittsburgh, Pennsylvania - USA","40.439635155663254, -79.9004126039625",,", ",Structure failure,"The Fern Hollow Bridge in Pittsburgh collapsed on January 28, 2022, due to extensive corrosion and section loss in the bridge's southwest leg, specifically within the transverse tie plate. This failure occurred because of clogged drains, which led to water and debris accumulation at the base of the legs, preventing the development of a protective rust layer and accelerating corrosion.","Under the road deck, the bridge carried a 16-inch (41 cm) natural gas pipeline, which severed in the collapse. Local residents were evacuated from their homes in response to reports of a ""massive leak"" and strong scent of natural gas. Officials shut down the gas lines in the area within a half hour of the collapse.","The service disruption lasted roughly 11 months initially, followed by a shorter closure later for final completion.",$25.3 million,Fern Hollow Bridge - Wikipedia,,
57,"U.S. 51 ""Cairo"" Bridge","Kentucky, USA","36.993818, -89.146196",KYTC initiated emergency repair planning focused on steel railing and sidewalk support replacements.Repairs are being expedited using an existing maintenance contract to enable quick mobilization.Traffic control measures (barriers and lane management) were implemented to ensure safe repair work without full bridge closures.,"February 18, 2022",Vessel collision,Unspecified,The tow boat was downbound on the Ohio River attempting to make the turn to head upstream on the Mississippi River when the tow hit one of the right descending piers of the bridge.,Close to traffic for sometime.,,https://content.govdelivery.com/accounts/KYTC/bulletins/30b3bbb,,
58,Savanna-Sabula Bridge,"Illinois, USA","42.104246, -90.159019","Authorities opted for a complete replacement of the aging bridge. The new, modern structure significantly reduces the likelihood of vessel collisions by offering safer width, clearance, and structural resilience.",April 2022,Vessel collision,High current,Several barges broke free from their tow and struck the support pillars,Closed for 3 hours,,https://www.wqad.com/article/news/local/barge-strikes-savanna-sabula-bridge/526-53abfe71-b41d-4122-8e64-a9375214486a,,
59,Cato bridge,"Florida, USA","26.952753, -80.078435",,May 2022,Vessel collision,,A pontoon boat filled with people was crushed as a drawbridge began to lift.,,,https://www.maselaw.com/news/florida-drawbridge-crushes-pontoon-boat-as-boaters-escape/,,
60,Point of Rocks bridge,"Montana, USA","39.273148406056535, -77.54495531751537",,June 2022,Flood,"Rain storms caused the area to flood, washing out many roads and bridges.","A portion of the Point of Rocks Bridge broke, creating an impassable gap that forced the closure of US 89 for several weeks.",Road closure for a week until temporarily repaired.,,https://www.bozemandailychronicle.com/news/environment/over-the-yellowstone-point-of-rocks-bridge-in-paradise-valley-repaired-carbella-still-under-water/article_20669a92-fc06-11ed-9ba3-4f992b2b0fd5.html,,
61,Townsends Inlet Bridge,"New Jersey, USA","39.119712, -74.715701","The primary response focused on search and rescue, vessel salvage, and bridge safety inspection.",July 2022,Vessel collision,Strong currents,A Jersey Shore charter boat that began to sink after hitting the Townsends Inlet Bridge linking Sea Isle City and Avalon Monday night has been towed to a marina and hauled from the water  for repairs.,,,https://www.nj.com/cape-may-county/2022/07/charter-boat-that-hit-jersey-shore-bridge-started-to-sink-hauled-to-marina-for-repairs.html,,
62,Sanibel Causeway bridge,"Florida, USA","26.47552238341936, -82.02620595122802",,September 2022,Hurricane,"The powerful storm, Hurricane Ian, which made landfall as a Category 4 hurricane on September 28th, washed away sections of the bridge and its approaches.","In September 2022, Hurricane Ian destroyed the causeway, cutting off Sanibel and Captiva Islands from the rest of the state of Florida and leaving residents stranded. Two portions of the ramp and a section of roadway that crossed an island in the middle of the causeway washed away in the storm. This damage effectively cut off Sanibel Island from the Florida mainland, making it inaccessible by car.","Emergency repairs were completed in October 2022, restoring access to the island, but further restoration and strengthening of the causeway is ongoing.",$328 million,Florida’s $328M Sanibel Causeway restoration completed | Construction Dive,,
63,Temporary bridge over Guaonica River,"Puerto Rico, USA","18.25765333782692, -66.7243783469667",,"September 19, 2022",Hurricane,"A temporary metal bridge in Puerto Rico, built in the wake of Hurricane Maria, was swept away in the rushing floodwaters of Hurricane Fiona.","Clattering metal was heard as the bridge comes loose and then flows downstream in one piece, whisked away by the current.",,,https://www.nbcnews.com/news/us-news/puerto-rico-bridge-built-wake-hurricane-maria-swept-away-fiona-floodwa-rcna48354,,
64,Shady Grove Bridge,"Missouri, USA","39.128033118043966, -77.17271586869245",,"October 1, 2022",Structure failure,"A bridge under construction in Clay County, Missouri, collapsed due to a faulty design of the temporary support structure (falsework) that was unable to support the weight of the wet concrete being poured.","Shady Grove Bridge, which crosses Carroll Creek at Northeast 148th Street near Kearney, collapsed while concrete pouring stage. The collapse sent tons of metal rebar, shattered wood forms, and wet concrete pouring into Carroll Creek.",,,https://abcnews.go.com/US/dead-injured-missouri-bridge-collapses-construction/story?id=92148210 https://www.kctv5.com/2025/05/04/men-injured-deadly-bridge-collapse-sue-clay-county-companies-involved/,,
65,Ellender Bridge,"Louisiana, USA","30.065792, -93.347769","While the bridge was safely deemed operational with no repairs needed, no proactive upgrades or additional protective infrastructure were installed following this minor collision.","November 1, 2022",Vessel collision,Speed of the towboats and potential errors by the captains.,"A tug boat moving a tank, hit the bridge, the tank was rubbing the top of the bridge. The tugboat hit the bridge and it just kept on going. The bridge had minor damage.",,,https://www.kplctv.com/2022/11/02/ellender-bridge-suffered-minor-structural-damage-when-hit-by-barge/,,
66,CSX Rigolets Swing Bridge,"Louisiana, USA","30.157672, -89.630830",This case focused on bridge operating procedures and lighting improvements. No reports indicate structural modifications like enhanced fenders or dolphins were added to the bridge.,"January 12, 2021",Vessel collision,Poor communication between the bridge operator and vessel operator. Contributing to the accident was the absence of bridge span navigational lighting that would have provided the vessel operators with a visual indication of the bridge’s opening status.,"An empty hopper barge, pushed by the towing vessel Robert Cenac, struck the CSX Railway Rigolets swing bridge.",,$1.1M,https://www.marinelog.com/news/poor-communication-blamed-in-1-1-million-barge-strike-on-bridge/,,
67,Vermont covered bridge,"Vermont, USA","44.916606335705836, -72.39614524604697",,"February 8, 2021",Fire,This covered bridge over the Missisquoi River in Troy collapsed following a blaze that started when a snowmobile caught file while crossing.,"Firefighters knocked down most of the blaze within 20 minutes, but the bridge’s beams gave out. The 121-year-old structure collapsed in the frozen river, a total loss.",,N/A,https://vtdigger.org/2021/02/09/troy-covered-bridge-fire-a-tragedy/ https://newsroom.ap.org/editorial-photos-videos/detail?itemid=e4f8aea7381247458c3cc778f457f630&mediatype=video&source=youtube,,
68,I‑155 Bridge near Dyersburg,"Tennesse, USA","36.089988, -89.565793","The response prioritized swift safety checks and reopening of the bridge. However, there have been no confirmed long-term preventive actions—such as structural fortifications or navigation safeguards—reported since the incident.","February 26, 2021",Vessel collision,,Barge hits Mississippi River bridge in Dyer County,The Tennessee Highway Patrol shut down both directions of I-155 in Dyer County closed at the Missouri-Tennessee state line around 10:30 a.m. It reopened around noon.,N/A,https://www.actionnews5.com/2021/02/26/barge-hits-mississippi-river-bridge-dyer-county/?utm_source=chatgpt.com,,
69,Burlington Northern Railroad Bridge,"Iowa, USA","45.580326, -122.748315",This incident underscores that human oversight and ECS use—not physical infrastructure—were the primary failures.,"April 11, 2021",Vessel collision,"The tow's pilot and captain ""incorrectly identified"" a caution area on the vessel’s electronic chart system (ECS) before pushing the tow up against a riverbank too close to a railroad track, leading to a train derailment near Galland, Iowa.","A barge struck a railroad bridge pier, causing track misalignment and temporary closure.",,N/A,https://www.railwayage.com/regulatory/ntsb-incorrectly-identified-caution-area-led-to-bnsf-derailment/,,
70,Duquesne-McKeesport Bridge,"Pennsylvania, USA","40.356685, -79.843454","PennDOT engineers monitored the bridge's bearings, which are critical components that support the bridge's structure. No movement was detected in these bearings, indicating that the bridge remained structurally sound.","May 6, 2021",Vessel collision,Loose barge,One barge broke loose from a towboat and hit the span. Minor damage to the pier.,,N/A,https://www.post-gazette.com/local/east/2021/05/06/Duquesne-McKeesport-Bridge-closed-barge-strike-traffic-Pittsburgh-detour-Great-Allegheny-Passage-PennDOT-Connecting-Railroad-Bridge/stories/202105060101,,
71,I-10 Bridge,"Texas, USA","29.792832, -95.062980",The NTSB recommended that marine operating companies develop and continuously evaluate severe weather plans to prepare for challenges associated with tropical storms and flooding.,"June 22, 2021",Vessel collision,Severe rainfall and flooding from Tropical Storm Imelda led to barges breaking away from their moorings and striking the Interstate 10 bridge,"11 barges broke free from a San Jacinto River barge fleeting area north of the I-10 bridge in Channelview during Tropical Storm Imelda, the fifth-wettest tropical cyclone on record in the continental United States. Six barges struck pier columns supporting the I-10 bridge",,$5.46M,https://www.ntsb.gov/news/press-releases/Pages/mr20210622.aspx,,
72,Pedestrian bridge,"Washington D.C, USA","38.88936377332854, -76.96000766845647",,"June 22, 2021",Vehicle collision,"A collision pulling the bridge off its mooring was the main cause of the incident although the bridge received a 4, or ""poor,"" rating after it was inspected in February.","A pedestrian bridge crashed down onto traffic on DC-295 in Northeast Washington, D.C., after a crash Wednesday. The bridge was on top of three lanes of the roadway. Fencing hung over three lanes of traffic in the opposite direction. Slabs of concrete and metal fencing were piled over a truck at one end of the bridge, which appeared to have completely detached from a staircase and platform.",,,,,
73,Chatham Parkway at I-16 overpass,"Georgia, USA","32.41616548583229, -82.38190360249068",,"July 15, 2021",Vehicle collision,"An unusual crash in South Georgia shut down I-16, a major highway between Macon and Savannah, after the trailer of a dump truck struck an overhead bridge with enough force to shift the bridge deck by several feet.","The crash resulted in the closure of I-16 westbound and the Chatham Parkway overpass. Three beams on the bridge were significantly damaged and had to be removed. A pickup truck driver behind the excavator was injured by flying debris, and the driver of the tractor-trailer also sustained injuries. ","Since the accident, the four-lane bridge has been reduced to a single lane in each direction as drivers complain of traffic backups and increased travel times.",The repair cost for the I-16 bridge on Chatham Parkway after an accident is estimated to be around $3.6 million for a full replacement. This cost is specifically for the replacement of the bridge damaged in the accident.,https://www.savannahnow.com/picture-gallery/news/traffic/2024/07/11/chatham-parkway-overpass-damaged-after-heavy-equipment-crash-on-i-16/74374995007/  https://www.wtoc.com/2025/02/10/repairs-begin-chatham-pkwy-bridge-over-i-16/,,
74,Poudre Canyon bridge,"Colorado, USA","40.698835982405235, -105.62398334661891",,July 2021,Flood,"Flash flooding in Poudre Canyon caused significant damage, including the destruction of at least one bridge.","Roads, bridges, and culverts were washed out,",,$1.7M,https://www.coloradoan.com/story/news/2021/07/21/poudre-flooding-live-updates-what-we-know-wednesday-poudre-canyon-flood/8038523002/,,
75,Medford bridge,"Massachusetts, USA","42.417677279311796, -71.11017118851487",,July 2021,Vehicle collision ,"The truck, owned by Dove Transportation of Alabama, was hauling a water clarifying tank that was 9 inches higher than permitted and was traveling on an unapproved route, violating its permit.","The crash damaged the structural beams and a section of the bridge deck, forcing the closure of I-93 southbound and leading to significant traffic delays for commuters. The fascia beam on the inside of this bridge was completely flattened. It was nearly torn in half.","Roosevelt Circle was operational, but with narrower lanes because crews removed eight to 10 feet of roadway during repairs. ",$1M,https://www.wbur.org/news/2021/07/26/smashed-i-93-overpass-could-cost-1-million-to-fix,,
76,Sunrise Boulevard Bridge,"Florida, USA","26.138231, -80.108473",Unspecified,November 2021,Vessel collision,,137-foot vessel struck the Sunrise Boulevard Bridge and became wedged under it,,N/A,https://wsvn.com/news/local/broward/yacht-hits-sunrise-blvd-bridge-in-fort-lauderdale-no-reported-injuries/,,
77,LA Route 182 Bridge,"Louisiana, USA","29.696739, -91.214204",Structural repairs focused on restoring the integrity of the impacted spans and supports.,December 2021,Vessel collision,"Loss of control of the tow by the pilot at the helm of the towing vessel, likely due to impairment by factors such as fatigue or drug use.","A Louisiana barge tow struck and damaged a bridge's fender. When the tow struck the bridge, water, electrical and gas lines along the bridge ruptured, triggering alarms at the utility providers.",,$2M,https://professionalmariner.com/ntsb-towboat-pilot-never-reported-hitting-louisiana-bridge/,,
78,Carroll Cropper Bridge,"Kentucky, USA","39.103291, -84.824879","In the aftermath, discussions have centered around enhancing bridge safety and preparedness for similar incidents.",January 2020,Vessel collision,Unknown,"A Tennessee Valley Towing vessel was traveling northbound during the early morning hours when it struck the bridge, causing some of the barges to separate from the vessel. No damage to the bridge",Closure for few hours.,N/A,https://www.eaglecountryonline.com/news/local-news/coast-guard-on-scene-after-coal-barge-hits-carroll-cropper-bridge/,,
79,Vine Street Expressway (I-676),"Pennsylvania, USA","39.953050, -75.134016","Enhanced Communication Protocols, Increased Monitoring, Public Awareness Campaigns",August 2020,Vessel collision,Tropical Storm Isaias,"The barges were displaced from their moorings near the Philadelphia Museum of Art and floated down the river, colliding with the north side of the Vine Street Expressway Bridge. The only thing they noticed was a bent stiffener bracket, which is not threatening the structure's integrity. ",The bridge was closed to traffic and SEPTA service,N/A,https://www.nbcphiladelphia.com/news/transportation-and-transit/vine-street-expressway-bridge-barges-closure-schuylkill-river/2491607/,,
80,U.S. 68 Eggners Ferry Bridge ,"Kentucky, USA","36.772856, -88.120507",Increased Inspection Frequency,October 2020,Vessel collision,Windy conditions pushed a tow of six empty barges into the left descending main pier of the bridge. ,"a barge hit on the U.S. 68 Tennessee River/Kentucky Lake Eggners Ferry Bridge. The barge just scraped the pier, so no damage.",Closure for few hours until inspected safe.,,https://content.govdelivery.com/accounts/KYTC/bulletins/2f96822,,
81,Sherman Minton Bridge,"Kentucky, USA","38.2784556, -85.8220389","Comprehensive repairs including structural steel rehabilitation, replacement of hanger cables, deck replacement, drainage improvements, lighting upgrades, and repainting. Updated inspection regime, Monitoring systems installation",January 2020,Vessel collision,Unknown,Barge struck the protective fender around a pier. No structural damage but required immediate inspection.,A four-day closure was observed at the bridge.,N/A,https://www.lpm.org/news/2009-02-05/vessel-hits-bridge-temporarily-averts-traffic,,
82,Penecostal Bridge,"Missouri, USA","38.48899781482002, -92.05245620025445",,January 2020,Overloaded truck,Bridge collapses as semi-truck hauling 4 times the weight limit crosses it,The bridge collapsed into the Maries River as the truck began crossing the one-lane bridge.,Traffic was rerouted.,,"https://krcgtv.com/news/local/osage-county-sheriff-bridge-collapses-near-westphalia https://www.gasconadecountyrepublican.com/stories/westphalia-pentecostal-bridge-collapses,32925",,
83,Pomeroy–Mason Bridge,"Ohio, USA","39.013361, -82.041630",Regular reviews of safety barriers and emergency response protocols remain key to preventing future collisions,"February 13, 2020",Vessel collision,Possibly due to loose barges,One barge hit a bridge pillar on the Pomeroy side and continued floating downriver. No damage to the bridge.,Temporary closure for few hours,,https://www.wsaz.com/content/news/Pomeroy-Mason-bridge-closed-due-to-loose-barge-567859961.html,,
84,"U.S. 45 ""Brookport"" Bridge","Kentucky, USA","37.115841, -88.628847","Routine Structural Monitoring, Frequent Fender/Dolphin System Evaluations","February 23, 2020",Vessel collision,Not specified,A tow boat that was pushing 8 empty barges scraped a pier on the main Kentucky side of the structure. The scrape was minor.,Closed for few hours.,,https://www.kfvs12.com/2020/02/23/barge-strike-reported-us-ohio-river-brookport-bridge/,,
85,Luling Bridge,"Louisiana, USA","30.010746, -90.376412","Post-strike bridge inspections, Safety reviews of tow protocols, and Enhanced river regulation and navigation controls.","March 1, 2020",Vessel collision,The tugboat pilot's ineffective actions in countering the strong current.,"A tugboat on the Mississippi River collided with the Luling Bridge in St. Charles Parish. The vessel was leading a train of grain barges when it crashed into the bridge, causing two of the barges to collide. So far, officials have said that the incident has not caused any injuries.",,N/A,https://www.offshoreinjuryfirm.com/news/2020/tugboat-crashes-into-luling-bridge-on-mississipp/,,
86,M-30 roadway,"Michigan, USA","43.806672864224026, -84.38632837936527",,1 May 2020,Flood,Dam failure and flood caused the damage.,"M-30 roadway over the Tittabawassee River suffered damage to the piers, railing of the bridge, and the bridge approach was washed away due to rapid water flow.",,$1.2M,https://www.michigan.gov/whitmer/news/press-releases/2022/08/31/whitmer-secures-millions-for-road-and-bridge-repairs-following-historic-flooding-and-dam-failure,,
87,Railroad bridge on Lake Cayuga,"New York, USA","42.955341, -79.862690",Unspecified,"June 19, 2020",Vessel collision,Boat operator under the influence of alcohol,"An incident involved the boat colliding with a railroad bridge, resulting in extensive damage to the boat.",,N/A,https://www.fingerlakes1.com/2020/06/19/update-water-rescue-teams-respond-to-cayuga-lake/,,
88,I‑24 Bridge over Nickajack Lake,"Tennesse, USA","35.027110, -85.564047",The bridge was promptly inspected and found to be structurally sound. Only the navigation-light fixture bracing required replacement—cosmetic damage was minor.,"July 7, 2020",Vessel collision,Not specified,A barge carrying the iconic Coca-Cola stage from Riverbends past crashed into the Interstate 24 bridge in Marion County.,Temporary closure,,https://newschannel9.com/news/local/marion-co-sheriff-coke-stage-collapses-after-hitting-i-24-bridge-on-tennessee-river,,
89,Cumberland River Bridge,"Kentucky, USA","36.190400, -86.690592","The new bridge is longer, wider, and features improved safety measures like wider driving lanes and emergency shoulders. It also eliminates the need for piers in the river, eliminating an obstruction for river traffic.","July 19, 2020",Vessel collision,Barge broke loose,A loaded rock barge hit a pier of the Cumberland River bridge. No damage but it was still replaced.,,$63.6M,https://www.waterwaysjournal.net/2020/07/27/no-damage-after-barge-hits-cumberland-bridge/,,
,Union Pacific Salt River Bridge,"Arizona, USA","33.433635, -111.943962",,"July 29, 2020",Fire,Traind derailment,Freight train derailment on the bridge led to fire among tank cars carrying chemicals. A portion of the century-old bridge collapsed. A prior derailment had occurred on June 26 at the same bridge.,,$11M,,,
90,"Douglas Bridge, Juneau","Alaska, USA","58.299145, -134.429352","Quick and multi-stage inspections confirmed no structural damage, only minor surface harm. Targeted repairs (grouting) were conducted to protect bridge materials against weather. Safety practices were reinforced.",6 August 2020,Vessel collision,High water level,A steel crane jutting up in the air as the barge failed to clear the underside of the steel and concrete span. The crane whip-sawed upward after it dragged along the underside of the bridge.,There was no damage reported to the vessel or the bridge,,A barge carrying a crane hit the underside of Juneau's Douglas Bridge,,
91,Peter P. Cobb Memorial Bridge,"Florida, USA","27.305854, -80.315937","After the incident, the bridge’s protective fendering was repaired, with nearly $650,000 in damage addressed to restore the bridge’s protective barrier. Mandatory Use of All Navigational Resource.",19 August 2020,Vessel collision,Strong current and improper planning by teh Pilot,The 230-foot barge Cole carrying dredge material hit the bridge’s eastside protective fendering and thereby damaging the fender.,,$650000 to repair the fender,NTSB notes inadequate navigational assessment in Fla. bridge strike – Professional Mariner,,
