Case ID,Bridge Name,"Location (City/County, Country)","coordinates (lat, lon)",Confirmed Post-Incident Safety Actions,Incident Date,Incident Type,Cause of Incident,Damage Description,Duration of Service Disruption,Estimated Repair Cost,Source / Reference,Notes,
92,Pensacola Bay Bridge,"Florida, USA","30.394141007046915, -87.18533520257309",,"September 18, 2020",Hurricane,The Pensacola Bay Bridge (also known as the Three Mile Bridge) suffered significant damage during Hurricane Sally in September 2020 due to a barge and crane that broke free and collided with the bridge.,"The damage resulted in an extended closure of the bridge, impacting local businesses and commuters.","The damage resulted in an extended closure of the bridge, impacting local businesses and commuters.","The initial replacement project was budgeted at $430 million, but the hurricane-related damage caused by barges breaking loose and impacting the structure resulted in increased costs and delays.",A portion of Pensacola's Three Mile Bridge is missing after Hurricane Sally. Here's what we know,,
93,Barataria Bridge,"Louisiana, USA","29.597608, -90.725420",DOTD installed and repaired fender lights and restored protective fender structures to meet navigational safety requirements,22 November 2020,Vessel collision,A corner of the bridge’s swing span was protruding outside of its protective fendering into the navigable channel after recently attempted repairs to the limit switch system that controlled the swing span’s rotation limit.,"The towing vessels Trent Joseph and George C were towing two barges southbound in the Barataria Waterway. While passing through the open Barataria Bridge, the second barge contacted the bridge’s swing span.",Unstable for few days.,"$500,000",NTSB Determines Cause of Tow Accident with the Barataria Bridge in Louisiana,,
94,Tower Bridge,"California, USA","38.580556, -121.508333",Review or reinforcement of protective systems and navigation infrastructure; Strengthened communication protocols with vessel operators; Increased monitoring and vigilance on the river;,2020,Vessel collision,Captain lost control of the vessel,A boat capsized and collided with the Tower Bridge's center support structure. The boat operator was rescued from the water. No serious damage to the bridge.,Closure for few hours,N/A,"https://www.abc10.com/article/news/local/sacramento/boat-capsized-rescue/103-8b204654-699a-4e16-973e-7bc9d4a0aa7d#:~:text=The%20boat%20operator%20was%20rescued,support%20structure%20on%20the%20bridge.",,
95,Peoria and Pekin Union Railway Bridge,"Illinois, USA","40.667674, -89.611434","Bridge remained structurally sound after inspection. The incident led to reinforced communication protocols, lookout assignments, and crew training for bridge transits.",7 January 2019,Vessel collision,Miscalculation by the pilot led to collision of barge onto the bridgge pier.,"A towboat pushing two barges on the Illinois River struck a descending lift bridge near downtown Peoria, Ill., tearing off the vessel’s pilothouse.","No major damage was caused, hence service wasn't disrupted.",,Bridge strike on Illinois River tears off towboat’s pilothouse – Professional Mariner,,
96,Liberty Bridge and the Port Authority Transit Bridge.,"Pennsylvania, USA","40.433711, -79.997015","While no major damage occurred in this case, structural protection enhancements (e.g., fender systems, pier guards) were evaluated for key bridge piers.","January 21, 2019",Vessel collision,Loose barge,"12 barges hauling coal broke loose in the early morning hours of Monday, floating down the Mon River in the dark, and striking the Liberty Bridge and the Port Authority Transit Bridge.",Temporary closure,,https://www.cbsnews.com/pittsburgh/news/runaway-barges-monongahela-river-closed-bridges/,,
97,Shave Bridge,"Florida, USA","30.627078, -81.485233",Evaluating the condition of protective structures (fender systems) surrounding bridge piers to verify they can absorb future impacts.,23 January 2019,Vessel collision,The barge did not have its equipment lowered as it crossed the bridge.,"Barge hits Shave Bridge, minor damage reported.",NMinor cosmetic damage so no disruption.,N/A,https://www.news4jax.com/news/2019/01/23/barge-hits-shave-bridge-minor-damage-reported/,,
98,Dale Bend Bridge,"Arkansas, USA","35.07724714218518, -93.2411961307142",,30 January 2019,Vehicle collision,"A historic bridge north of Ola was destroyed Wednesday when a semi drove over it, and the bridge collapsed. The truck was determined to weigh approximately 40 tons and the old iron bridge on Dale Bend Road had a posted weight limit of six tons.","The bridge partially collapsed at first, taking the semi into the river with it. By Thursday morning, the rest of the bridge had fully collapsed into the river.","Following the incident, the bridge was closed and the truck and trailer remained partially submerged in the river while officials began to plan how it could be removed.","The cost to repair the Dale Bend Bridge after the collapse is estimated to be over $1 million, with potential for cost reduction if a center pier is feasible.",https://www.5newsonline.com/article/news/local/outreach/back-to-school/1930-yell-county-bridge-collapses-as-semi-tries-to-cross-it/527-b194c9ce-9282-4f0a-bad1-800b4a8bf8d7 https://www.rivervalleynow.com/local_news/semi-recovered-following-january-bridge-collapse-on-dale-bend-road/article_9de1f7d2-bea7-11e9-b648-c345910fa2a8.html,,
99,Huey P. Long Bridge,"New Orleans, USA","29.944146, -90.168922","Quick closure and thorough inspections by DOTD, railroad, and Coast Guard ensured bridge safety. Post-event measures emphasized protocol reinforcement, navigational safety, and multi-agency coordination.","February 1, 2019",Vessel collision,High water level,"The antenna from a passing boat struck the bridge, and the damage appears to be cosmetic.",The bridge was closed for few hours.,N/A,https://www.wbrz.com/news/huey-p-long-bridge-in-new-orleans-closed-hit-by-vessel-antenna/,,
100,Archers Creek Bridge,"South Carolina, USA","32.362331, -80.713045",,"February 24, 2019",Vessel collision,Under the influence driving,A fatal boat crash took the life of a person when the driver allegedly collided with a bridge. The boat struck one of the pilings of the bridge.,,,https://www.cbsnews.com/pictures/mallory-beach-boat-crash-death-alex-murdaugh-family/,,
101,Norfolk Railway bridge,"Alabama, USA","34.618161, -86.980620",The Norfolk Southern Railway Bridge's fendering system was evaluated and reinforced to better absorb impacts and protect the bridge structure from future collisions.,"March 10, 2019",Vessel collision,The probable cause was the pilot's decision to navigate through a poorly aligned bridge using an unfamiliar vessel during high water and a strong current," Ssix loaded barges, contacted the Norfolk Southern railway bridge near Jackson, Alabama. As a result, a bridge support was shifted out of position, and the tracks above deflected. ",Suspended for 27 hours until further repair was made,N/A,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://safety4sea.com/wp-content/uploads/2020/03/NTSB-Contact-of-Towing-Vessel-Rivers-Wilson-and-Tow-with-Norfolk-Southern-Railway-Bridge-2020_03.pdf,,
102,US 70 Bridge near New Johnsonville,"Tennesse, USA","34.235366, -93.753498",The bridge was inspected safe and had no damage but no preventive measures are specified.,"March 14, 2019",Vessel collision,Loose barge,Loose barge hit US 70 Bridge near New Johnsonville,The bridge was temporarily closed at Highway 70 while crews worked to determine if there was any structural damage.,,https://www.wbbjtv.com/2019/03/14/barge-hits-bridge-near-new-johnsonville/,,
103,Atchafalaya bridge,"Louisiana, USA","30.365729, -91.638312",Immediate actions and long-term preventive measures were implemented to protect the bridge and improve the safety of future transits such as the fender systems.,"April 24, 2019",Vessel collision,The captain lost control of the tow and the bridge too took more time to open than usual.,The captain lost control of the tow and the 200-foot Terral 2 hit the bridge in several places,,"$500,000",https://professionalmariner.com/ntsb-cites-lack-of-decision-point-in-atchafalaya-bridge-strike/,,
104,John T. Brooks Bridge,"Florida, USA","30.402396306303444, -86.601300",The new bridge design incorporated a more robust fender system to better protect the bridge from vessel impacts. The replacement bridge features a skewed 275-foot spliced girder main span to avoid conflicts with existing structures and to improve resilience against vessel collisions. Increased Clearance.,"April 27, 2019",Vessel collision,"The barge was carrying two large smokestacks, which were reportedly very tall and close to the bridge as it passed underneath.",A barge hit the fender surrounding a set of pilings at Brooks Bridge on U.S. Highway 98 between Fort Walton Beach and Okaloosa Island. No damage.,Temporarily closed until investigation was done.,N/A,https://www.nwfdailynews.com/story/news/2019/05/13/brooks-bridge-fender-struck-by-barge-photos/5172604007/,,
105,Eads Bridge,"Missouri, USA","38.62891, -90.17893","While the Eads Bridge itself did not sustain damage in the 2019 incident, the event prompted a reevaluation of safety measures and navigational practices in the area to protect both infrastructure and personnel.","May 2, 2019",Vessel collision,Possibly due to rising floodwaters.,A towboat struck the Eads Bridge. The Coast Guard closed a portion of the Mississippi to all vessel traffic from mile marker 179 to 184 due to extremely high water levels and fast-moving currents. No damage to the bridge.,"The USCG closed the Mississippi to vessel traffic between mile markers 179 and 184, a stretch of river that includes the Eads Bridge until the water level went down.",N/A,https://professionalmariner.com/video-towboats-pilothouse-crushed-in-st-louis-bridge-strike/ https://maritime-executive.com/article/video-towboat-strikes-st-louis-historic-eads-bridge,,
106,Benicia Bridge,"California, USA","38.039013, -122.118810",Unspecified,"July 5, 2019",Vessel collision,Not confirmed,A boat has struck a bridge piling on a train trestle belonging to Union Pacific Railroad next to the Benicia bridge.,,N/A,https://www.ktvu.com/news/vessel-collides-with-bridge-piling-in-benicia,,
107,"Florence Bridge,","Illinois, USA","39.634002, -90.608043","The proposed new bridge would feature wider traffic lanes and shoulders to better accommodate farm implements and bicyclists. Additionally, it would increase the width and vertical clearance of the river navigation span, enhancing safety for river traffic and eliminating the need for around-the-clock lift operators.","June 20, 2019",Vessel collision,High water level,Several barges struck a portion of the pier and a section of the bridge.  The inspection found at least two cracks in the bridge’s north truss.,,,https://www.myjournalcourier.com/news/article/Florence-Bridge-closed-after-barge-accident-14046851.php,,
108,Northwood bridge,"North Dakota, USA","47.717567417325654, -97.60746172074624",,"July 22, 2019",Vehicle overload,The bridge collapsed after a tractor-trailer hauling beans and exceeding the weight limit drove over it,The collapse resulted in the truck becoming partially submerged.,,$1M,https://www.nbcnews.com/news/us-news/too-heavy-big-rig-collapses-100-year-old-bridge-north-n1032676,,
109,Interstate 10 Bridge,"Texas, USA","29.792853, -95.061564",The existing bridges will be replaced with a new structure that will feature more lanes and a higher vertical clearance. Construction is slated to begin in 2027 and is estimated to take five years,"September 19, 2019",Vessel collision,"This incident was caused by the extreme rise and flow of water in the San Jacinto River, resulting from a historic rainfall event associated with Tropical Storm Imelda.",Six barges struck pier columns supporting the bridge.,,5.11M,https://www.marinelog.com/news/ntsb-reports-on-multiple-barge-breakaway-that-closed-i-10-bridge/,,
110,Bill Emerson Memorial Bridge,"Missouri, USA","37.295522, -89.515848",There is no indication that the NTSB conducted a formal investigation or issued post‑incident safety recommendations f,"November 16, 2019",Vessel collision,Mechanical failure,"A barge hit the Bill Emerson Memorial Bridge. The barge was pinned against the pier side-wise, putting a large amount to the river’s pressure on the pier.

",Closed for few days until inspected safe.,N/A,https://www.kfvs12.com/2019/11/16/barge-hits-bill-emerson-memorial-bridge/,,
111,Old Bonner Bridge,"North Carolina, USA","35.766877, -75.526933","There’s no public record of any direct remedial action taken to reinforce, inspect, or modify bridge structures post-accident","November 19, 2019",Vessel collision,The incident occurred during a significant coastal storm event while the tugboat was attempting to recover loose work barges.,"The semi-submerged tugboat Miss Bonnie sits in the water after alliding with the Old Bonner Bridge and is responsible for the potential maximum discharge of 6,000 gallons of diesel",,,https://www.marinelog.com/inland-coastal/coastal/uscg-responds-to-discharge-from-tug-that-hit-bridge/,,
112,Clark Memorial Bridge,"Kentucky, USA","38.263589, -85.75137",Railing replacement and structural fixes during partial closures,"December 26, 2018",Vessel collision,"A combination of high water, a large amount of debris in the river, and operator error.",,The Ohio River was closed to traffic from Twelve Mile Island to McAlpine Lock and Dam due to the accident.,,https://www.whas11.com/article/news/local/2nd-street-bridge-shut-down-after-possible-barge-strike/417-93fced9a-e404-4a7b-b887-b2ac5599313f,,
113,FIU Pedestrian Bridge,"Miami, Florida- USA","25.757065774588114, -80.375394048814",,"March 15, 2018",Structure failure,"The resistance to sliding was miscalculated, and thus insufficient to prevent the connection from sliding, causing cracks in the truss concrete. As the cracking enlarged, it ultimately caused the complete disconnection of one of the truss-to-walkway connections, leading to the collapse.","The barge was pinned against the pier side-wise, putting a large amount to the river’s pressure on the pier.",,"The replacement of the Florida International University pedestrian bridge, following the 2018 collapse, is estimated to cost $18.2 million for construction, with an additional $38 million for the overall project, including design and other costs.",Florida International University pedestrian bridge collapse - Wikipedia,"In June 2019, OSHA released its final report on the FIU bridge collapse[2] and concluded FIGG Bridge Engineers failed to recognize collapse was imminent when they inspected the bridge hours earlier. They also concluded the bridge had structural design deficiencies, severe cracks were wrongly ignored by the Engineer of Record and warranted street closure, and contract bridge design experts violated basic FDOT construction requirements.",
114,Winona Highway 43 Bridge,"Minnesota, USA","43.803256, -91.753177","The bridge was intentionally designed to withstand barge collisions. Engineers built it upstream and intentionally factored in vessel impact forces, traffic flow, and loads during the design phase",July 2018,Vessel collision,High current,"Minnesota Highway 43 was struck recently by a barge going downriver on, but performed as it was designed to do",It was never shut down.,N/A,https://www.equipmentworld.com/roadbuilding/article/14969860/barge-crashes-into-new-minnesota-winona-bridge,,
115,US‑89 Bridge near Livingston,"Montana, USA","45.717975, -110.467406",New weight restrictions to limit load stress were implemented.,July 2018,Vessel collision,A family’s drift boat colliding into a bridge pylon and capsizing.,Boat collided into bridge in fatal accident. No damage.,No closure,N/A,https://apnews.com/general-news-343bfcf4af4c4b45acc74837b9628204,,
116,Sunshine Bridge,"Louisiana, USA","30.247815, -90.898005",Replaced the damaged bottom chord and returned the bridge to traffic within 45 days of the incident.,October 2018,Vessel collision,"Inadequate voyage planning and watch turnover between the captain and pilot, resulting in the pilot transiting beneath the bridge’s west span instead of its channel span.","A crane barge pushed by MV Kristin Alexis struck the westbound span, causing severe structural damage to a main load-bearing component.","The bridge was completely closed to vehicular traffic for 49 days while repairs were made, which resulted in significant traffic impacts.",$6.7M,https://www.marinelog.com/inland-coastal/inland/ntsb-reports-on-2018-sunshine-bridge-allision/,,
117,FM 2900 bridge,"Texas, USA","30.658763426959613, -98.42976184845853",,October 2018,Flood,"Floodwaters rushed through the Llano River at Kingsland, causing the FM 2900 bridge to collapse and wash away.",The bridge connected two sides of Kingsland and the loss caused problems for its residents since what had once been a five- to 10-minute drive took about 45 minutes.,Few months of detour.,17.3M,https://www.kvue.com/article/weather/llano-river-flood-of-october-2018-kingsland-fm2900-bridge/269-5aa39110-6ed7-46f0-9ab8-b71e78a091f4,,
118,Matthew E. Welsh Memorial Bridge,"Indiana, USA","38.016891, -86.197365",Not specified,2018,Vessel collision,,Minor barge hit: no substantial damage.,,,https://www.wishtv.com/news/i-team-8/some-indiana-bridges-face-risk-from-commercial-water-traffic-but-overall-danger-low/,,
119,Pfeiffer Canyon Bridge,"California, USA","36.23975564784205, -121.7750266634919","A new single‑span steel plate girder bridge without intermediate supports, directly addressing landslide-caused pier vulnerabilities",February 2017,Landslide,One of the main support columns of the previous Pfeiffer Canyon Bridge collapsed in February from a landslide triggered by heavy rainfall.,"The landslide displaced a support column, leading to the bridge's closure and subsequent demolition. The collapse isolated the southern portion of Big Sur, impacting residents, businesses, and tourism.",The bridge was demolished in March. That cut off access to Big Sur via Highway 1 from the north.,"The repair of the Pfeiffer Canyon Bridge, following its collapse due to a landslide, cost $24 million. This included the demolition of the damaged bridge and the construction of a new one, completed in October 2017",Big news for Big Sur: Pfeiffer Canyon Bridge rebuilt: Travel Weekly,,
,Glenn Highway,"Alaska, USA","61.794112, -147.675647",,"March 22, 2018",Vehicle collision,A semi-trailer crashed into the South Eagle River Overpass.,,,1.8M,https://www.webcenterfairbanks.com/content/news/Semi-trailer-accident-causes-18-million-in-damage-on-Alaskas-busiest-highway-477707333.html,,
120,I‑85 Viaduct,"Atlanta, Georgia - USA","35.04156722791926, -81.90369804637709",,"March 30, 2017",Fire,"A massive fire collapsed a section of the I-85 freeway viaduct in Atlanta, Georgia, stranding motorists for miles during rush hour traffic.","Excessive heat had caused the loss of pretension of the bridge reinforcement bars, and the bridge spans exhibited delamination and cracking throughout the bottom flanges.",I-85 was closed to traffic for 43 days between its split with I-75 and the interchange with State Route 400 (SR 400) — approximately two miles (3 km).,$5 million,https://www.bridgeweb.com/Inspectors-report-on-I-85-bridge-collapse/4648  https://en.wikipedia.org/wiki/Interstate_85_bridge_collapse?utm_source=chatgpt.com,,
121,Interstate 205 Bridge,"Washington, USA","45.581102, -122.583831",Boating speed limits and life jacket usage—were reinforced to protect both navigational and road users.,"May 22, 2017",Vessel collision,Not known,"A woman was killed after her boat rammed into one of the pylons under the Interstate 205 Bridge Monday night. The boat, an 18-20 foot pleasure craft of some kind, sank after hitting the pylon.",,,Woman killed when boat strikes Interstate 205 Bridge - The Columbianks-below-interstate-205-bridge/,,
122,Stillwater Life Bridge,"Minnesota, USA","45.056532, -92.803649","MnDOT already enforces a strict lift schedule, personnel monitoring marine radios, and a protocol for boaters to call 24 hours in advance outside normal seasons",June 2017,Vessel collision,,The upper portion of a 37-foot boat was sheared off when it hit the bridge.The upper portion of a 37-foot boat was sheared off when it hit the bridge.,Closed until inspected safe.,N/A,https://www.cbsnews.com/minnesota/news/stillwater-lift-bridge-crash/,,
123,Ray Nitschke Memorial (Main Street) Bridge,"Wisconsin, USA","44.518651, -88.016124",Fender and dock repairs; enhanced navigation caution messages,July 2017,Vessel collision,High current ,Great Lakes freighter backing out of the Fox River struck a moored powerboat and ran into a drawbridge in downtown Green Bay. A bridge gangway on the fendering and docks along the river also were damaged.,4 hours closure,N/A,https://professionalmariner.com/great-lakes-bulker-hits-docked-powerboat-bridge-in-green-bay/,,
124,Sykes Creek Bridge,"Florida, USA","28.37232690533123, -80.67683767435496",,September 2017,Hurricane,"The storm caused severe erosion and scouring around the bridge's support pilings, leading to concerns about its stability and potential collapse.",The pilings holding up the bridge washed out.,The Army Corps of Engineers made temporary repairs to stabilize the bridge before a new one would ultimately replace it.,$5M,https://www.floridatoday.com/story/news/2017/09/22/irma-leaves-sykes-creek-bridge-limbo/693985001/ https://www.clickorlando.com/news/local/2024/07/26/construction-starts-to-replace-merritt-island-bridge-closed-since-2017-hurricane/,,
125,St. Paul Union Pacific Rail Swing Bridge,"Minnesota, USA","44.923907, -93.050597","The NTSB recommended that bridge owners assess and upgrade fendering systems to better withstand impacts from vessels, reducing the risk of structural damage and ensuring continued safe operation of the bridge.",October 2017,Vessel collision,Inexperienced pilot who incorrectly positioned the tow prior to maneuvering through a turn with a following current when approaching the bridge span.,The lead barge on the port side struck a fixed pier of the swing bridge.,,"$800,000",https://trid.trb.org/View/1567295,,
126,Holliday Bridge,"Indiana, USA","39.98150417052457, -86.27266663097234",,December 2017,Vehicle collision,"The tractor hit the bridge, causing it to collapse. The driver of the tractor told deputies that he didn't realize his attachment was wider than the bridge when he tried to cross.","A tractor tried to pass over Holliday Bridge, north of Zionsville. The bridge collapsed into a pile of twisted metal as a tractor was crossing the span.",,,https://www.wthr.com/article/news/local/boone-county-bridge-collapses-as-tractor-crosses/531-69c28de6-5525-4374-ac0e-55cbb2fdcc80 https://fox59.com/news/collapsed-historic-bridge-coming-down-while-long-term-solution-is-found/,,
127,Helena Highway Bridge,"Arkansas, USA","34.496752, -90.587671","Enhanced Navigational Training and Procedures, Improved Safety Management Systems (SMS), Enhanced Bridge and Waterway Monitoring

",January 2016,Vessel collision,High current and swollen Mississippi River caused barges to break loose.,"A towboat pushing barges struck a pier of the Helena Highway Bridge, sending four barges traveling free",No damage was recorded.,,https://www.ualrpublicradio.org/local-regional-news/2016-01-12/towboat-accidents-on-swollen-mississippi-river-set-barges-free ,,
128,North Landing (Centerville) Drawbridge,Virginia - USA,"36.719978, -76.100160",Completed repairs on damaged gear teeth and steel girders caused during a barge accident June 4.,March 2016,Vessel collision,Unknown,"A barge traveling the Intracoastal Waterway in Chesapeake, Va. struck the Centerville Turnpike Bridge early Saturday morning, damaging the bridge and shutting down traffic. According to Chesapeake Roads, the bridge became stuck in the open position because of damage suffered in the strike. ",6 months closure. The Centerville Turnpike Bridge underwent a major reconstruction project that wrapped up in February 2020.,N/A,https://www.chesapeakebaymagazine.com/va-drawbridge-stuck-open-after-barge-strike/,,
129,May Avenue bridge,"Oklahoma, USA","35.480174913488895, -97.5792450629891",,May 2016,Vehicle collision,"The collapse occurred when a semi-truck hauling a boom lift collided with the bridge, causing the northbound lanes to fall onto Northwest Expressway.","The bridge collapsed in 2016 after a truck carrying construction equipment hit it and destroyed three beams. While the collapse was significant, fortunately, no injuries were reported. While the collapse was significant, fortunately, no injuries were reported.","City officials estimated that the repair work, which involved replacing damaged beams and the bridge deck, would take two to three months.","The cost to repair the May Avenue bridge after the 2016 collapse was $575,823.28.",City seeks input on May Avenue bridge project after 2016 collapse,,
130,Hopple Street Overpass over I-75 Southbound,"Cincinnati, Ohio - USA","39.15593368901382, -84.5369345912611",,"January 19, 2015",Structure failure,"The Hopple Street exit ramp collapsed onto I-75 S on January 19, 2015 during demolition at approximately 10:30 PM. ","As the center span collapsed, a semi truck crashed into the debris, injuring the driver. Demolition had been halted earlier in the week due to concerns about the upward deflection of some steel girders and inadequate remedial measures were put in place. One foreman was killed and the excavator operator was injured. ","The collapse occurred during demolition work, specifically when concrete was being removed from the bridge deck. The incident led to the closure of I-75 Southbound and prompted investigations into the cause of the collapse.","The cost to repair the Hopple Street Overpass over I-75 Southbound, following the collapse of an exit ramp during construction, was $91.6 million.",https://www.cincinnati.com/story/news/2015/10/19/hopple-st-rebuild-time-mostly-budget/74228880/,,
131,Claiborne Pell (Newport) Bridge,"Rhode Island, USA","41.503779, -71.342267",Not specified,"February, 2015",Vessel collision,High winds from the blizzard Juno,One of the four industrial lines that anchor the barge became unstrapped and caused the barge to move during low tide. It struck one of the bridge’s eastern piers outside the navigation channel. No damage.,,N/A,https://www.jamestownpress.com/articles/no-damage-to-bridge-following-collision-with-loosened-barge/?utm_source=chatgpt.com,,
132,Thebes Railroad Bridge,"Illinois, USA","37.216697, -89.467036",Bridge owners reviewed and upgraded fendering systems to better absorb vessel impacts and reduce risk of structural damage during accidental collisions.,"July 7, 2015",Vessel collision,Strong current,A barge sank Saturday on the Mississippi River after the towboat that was guiding it struck a railroad bridge. Bridge was not damaged.,,,https://professionalmariner.com/barge-breaks-free-sinks-after-towboat-hits-illinois-bridge/,,
133,Foley Beach Express bridge,"Alabama, USA","30.295082, -87.631552","The damaged fender system, which serves as a protective barrier for the bridge piers, was repaired to restore its functionality and protect the bridge from future maritime impacts.","July 8, 2015",Vessel collision,"The barge struck a ""fender system"" around a piling on the south side of the span.","The fender system is basically a wood structure with steel beams around the piling and (the barge) knocked out about 60 foot of it, so it was a pretty good impact on that.",No damage was recorded but the toll bridge was closed early.,,https://www.al.com/news/mobile/2015/07/foley_beach_express_bridge_clo.html,,
134,I‑10 “Tex Wash” Overpass," California, USA","33.65026790562066, -115.17002146195865",,"July 19, 2015",Floods,"The Tex Wash Bridge on Interstate 10 (I-10) in Riverside County, California, collapsed due to a severe rainstorm. The collapse, which occurred during an intense rainstorm, caused the closure of I-10 between Coachella and Blythe, impacting traffic between California and Arizona.","The storm was extremely rare and powerful, but its destructive force was magnified by critical flaws in the design of the bridge, according to an engineering expert's new study of the bridge failure.","A detour was established, and the bridge was replaced using precast concrete and an accelerated bridge construction strategy.","The I-10 ""Tex Wash"" overpass collapse repair cost was $5 million. This cost covered the demolition of the damaged eastbound span and the construction of a new 105-foot replacement bridge using Accelerated Bridge Construction (ABC) methods.",Doomed to Fail: The fatal flaws of the Tex Wash Bridge,,
135,Surf City Swing Bridge,"North Carolina, USA","34.431314, -77.549637","NCDOT began repairs to the damaged fender system on August 17, 2015. The work was scheduled to continue until October 23, 2015, with minimal disruptions to vehicular traffic.","July 19, 2015",Vessel collision,"A combination of wind, current, and over-correction by the boat operator may have led to the accident.",A tug boat pushing a barge ran into the structure.  A tug boat pushing a barge ran into the structure.,,,https://www.wect.com/story/29582333/barge-strikes-surf-city-swing-bridge-damages-fender-system/,,
136,Bob White covered bridge,Virginia - USA,"36.77923578183849, -80.24803218927272",,29 September 2015,Floods,"The Bob White Covered Bridge in Patrick County, Virginia, was destroyed by severe flooding in September 2015. The 80-foot bridge, built in 1921, was washed away entirely, leaving only the bridge supports remaining.","The bridge washed away and was destroyed in major flooding on September 29, 2015",,N/A,Bob White Covered Bridge - Wikipedia,,
137,State Road 528 bridge,"Florida, USA","28.452299, -81.050969","While the bridge structure remained undamaged, the fender system sustained damage. FDOT initiated repairs to the fender system to restore its protective function and prevent future incidents.","October 23, 2015",Vessel collision,"The crane on the barge was too high and struck the bridge girders on both the eastbound and westbound spans, causing some concrete to break off and fall into the Indian River. The","The barge struck the bridge that spans over the Indian River. An inspection of the bridge determined the eastbound side, which is concrete, had scraping, with some small portions of concrete coming loose.",Temporarily closed.,N/A,https://www.floridatoday.com/story/news/local/2015/10/23/reports-barge-strikes-state-road-528-bridge/74449602/,,
,Oxbow Bridge ,"Arizona, USA","44.6991, -73.605",,"August 1, 2025",Fire,A 5- acre fire spread to the Oxbow Bridge which collapsed into the Colorado River. ,"The bridge has some remains left in the Colorado River, but it's completely impassible.",,N/A, https://www.yahoo.com/news/articles/no-saving-fire-destroys-oxbow-120257305.html,,
,White River bridge,"Washigton, USA","46.903, -121.554",,"August 18, 2025",Vehicle Collision ,A semitruck hit the White River Bridge causing the several panels in the bridge to distort. ,The horizontal and vertical compents of the bridge were damaged on all seven panels. ,,N/A, https://komonews.com/newsletter-daily/white-river-bridge-remains-closed-buckley-enumclaw-after-semi-truck-strike-damage-multiple-places    https://washingtonstatestandard.com/2025/08/28/bridge-closure-over-white-river-severs-a-critical-transportation-link-in-western-wa/ ,,
,Spirit Lake Outlet bridge,"Washigton, USA","46.28, -122.18",None specified. ,"May 14, 2023",landslide,Deposit from a past volcanic eruption led to debris flowing and washing out Spirit Lake Outlet Bridge. ,"The bridge was washed out and covered with mud, rock, ice, and water.",Closed until completed reconstruction. ,N/A,https://wsdot.wa.gov/construction-planning/search-projects/sr-504-south-coldwater-slide-spirit-lake-outlet-bridge-washout  ,,